Chunk Text,Embedding
"Health Companion –  Health Insurance Plan   POLICY DOCUMENT  
 
 
Page 1 of 25 Policy Document – Part II  
1. Terms & Conditions  
The insurance cover provided under this Policy to the Insured Person up to the Sum Insured is and shall 
be subject to (a) the terms and conditions of this Policy and (b) the receipt of premium, and (c) the 
information You provided to Us (including by way of the Proposal or Information Summary Sheet) on Your","-0.043032243847846985,0.15539416670799255,0.07335119694471359,0.019910618662834167,0.06779719144105911,0.06632483750581741,0.020426666364073753,0.03526023030281067,-0.0668158084154129,-0.03315531834959984,0.019790802150964737,-0.015159538947045803,0.06982744485139847,-0.0904136374592781,0.013330698944628239,-0.07110421359539032,-0.018034253269433975,0.003282204968854785,0.003373947460204363,0.08085659891366959,-0.010886700823903084,0.08529098331928253,0.010706376284360886,0.0021628644317388535,-0.039845265448093414,-0.015058605000376701,0.051045771688222885,-0.0010203300043940544,0.004869179800152779,0.06643685698509216,0.026620516553521156,0.06365539133548737,0.03557111695408821,0.01972588710486889,0.0008043482666835189,-0.04733521118760109,-0.07586338371038437,-0.02823568880558014,-0.0925663411617279,0.0636722519993782,-0.0065665640868246555,-0.022026866674423218,-0.024963106960058212,0.054699018597602844,0.05040622875094414,-0.012419499456882477,-0.12379387766122818,0.06820137798786163,-0.015566838905215263,0.06675928086042404,-0.08192262053489685,-0.00909931305795908,-0.022034890949726105,0.02801625430583954,0.015220276080071926,-0.01726667210459709,-0.08442941308021545,-0.044766735285520554,-0.11604893952608109,-0.0012982076732441783,-0.0017337790923193097,-0.04733419418334961,-0.03500476852059364,0.06096823513507843,-0.04780450463294983,0.048367343842983246,-0.021095143631100655,0.0426737405359745,-0.007407769560813904,0.011528989300131798,-0.0988660603761673,-0.035466134548187256,-0.014262836426496506,-0.036425504833459854,0.031385283917188644,0.017602920532226562,-0.0027749906294047832,-0.05329287797212601,0.0258420892059803,-0.04766623675823212,-0.06446603685617447,0.04407364875078201,0.0540585070848465,0.025191355496644974,0.028880290687084198,0.0029952265322208405,-0.007957365363836288,-0.05250794440507889,-0.04958539828658104,-0.06952427327632904,0.04111030697822571,-0.09755439311265945,0.023984093219041824,-0.010763023979961872,-0.01943688467144966,-0.031232891604304314,-0.05836906656622887,-0.09971263259649277,-0.023308487609028816,0.006746881175786257,-0.01295844279229641,-0.07311717420816422,0.034539006650447845,0.07462774962186813,-0.09318234026432037,-0.076228067278862,0.0015244090463966131,-0.04033122584223747,0.09551624208688736,0.008315871469676495,0.05077173188328743,-0.03546363115310669,0.031376563012599945,-0.04157521203160286,-0.0065220799297094345,-0.024121809750795364,0.019593048840761185,0.03670569136738777,0.14227406680583954,-0.022671516984701157,0.034263160079717636,-0.00032648665364831686,-0.012090621516108513,-0.06246361508965492,-0.035144563764333725,-0.11207222938537598,0.03425270691514015,3.6160263346407503e-34,0.025711853057146072,0.029202621430158615,0.03020934946835041,0.061953216791152954,0.0060521578416228294,0.02259238250553608,0.018188122659921646,-0.017144229263067245,0.028322599828243256,0.008890420198440552,-0.00728946877643466,0.08683948963880539,0.014020277187228203,0.05712399259209633,-0.07834944128990173,-0.014372496865689754,-0.032932769507169724,0.1604245901107788,0.0014867928111925721,0.10370286554098129,0.017769593745470047,-0.04928310960531235,0.051311247050762177,0.021278269588947296,0.00949354562908411,0.01969917118549347,-0.009247572161257267,-0.04956692084670067,0.019298596307635307,-0.0033039646223187447,0.002744627883657813,0.022219369187951088,-0.0009223120287060738,-0.053870804607868195,-0.041103214025497437,0.09129102528095245,-0.07371330261230469,-0.01287822611629963,-0.04481351748108864,-0.018620138987898827,-0.08845625072717667,0.01625688746571541,0.07803761214017868,-0.055231187492609024,-0.038037363439798355,-0.03126392886042595,0.036431003361940384,-0.04754350706934929,0.05539906769990921,0.016827650368213654,-0.08542189002037048,-0.042105529457330704,-0.02949064038693905,0.04800363630056381,-0.00895925797522068,0.028666064143180847,-0.024177974089980125,0.052812088280916214,-0.024341706186532974,0.015440262854099274,0.003332369728013873,-0.012166494503617287,0.012956593185663223,-0.07931437343358994,-0.032500073313713074,0.048444729298353195,-0.0926169902086258,-0.07386783510446548,0.03188746050000191,-0.019420988857746124,-0.03496525064110756,0.10313785076141357,-0.012486067600548267,0.015760337933897972,0.008783447556197643,0.03588832914829254,-0.04155561700463295,0.019357429817318916,-0.01408441923558712,-0.034379903227090836,-0.07282613217830658,0.00350746582262218,0.048179883509874344,0.04103902727365494,-0.011400463990867138,0.06927017122507095,0.05103856697678566,0.04849299043416977,-0.018810434266924858,-0.07190530747175217,-0.013681389391422272,0.0391291007399559,-0.011366172693669796,0.05479716137051582,0.07546430081129074,-3.66650132738109e-33,-0.013316637836396694,-0.028027797117829323,0.04294946789741516,-0.07388889789581299,0.02647392265498638,-0.04870092496275902,-0.007361114025115967,-0.00011838301725219935,0.10307443886995316,0.01581951603293419,-0.016674503684043884,-0.016098830848932266,-0.005671660415828228,-0.03165668994188309,-0.06244688481092453,0.04495489224791527,-0.03784959018230438,-0.10321234911680222,0.049585819244384766,0.06924274563789368,-0.08138599991798401,-0.051584579050540924,0.01356642134487629,0.05219084396958351,0.051087990403175354,0.016261309385299683,0.06343884021043777,-0.013940205797553062,0.07912658900022507,-0.09200730919837952,-0.010446534492075443,-0.06949212402105331,-0.10999144613742828,-0.026264598593115807,0.03821941465139389,-0.024392517283558846,0.010250627994537354,0.02196742221713066,-0.05583476275205612,0.0541117824614048,0.13170404732227325,-0.0282166488468647,0.059630803763866425,0.031011618673801422,0.048523470759391785,-0.04429569095373154,0.06229577213525772,-0.050529845058918,0.015865132212638855,0.008442551828920841,0.026388250291347504,-0.047286778688430786,0.01627560704946518,0.042231831699609756,-0.08983470499515533,-0.014407599344849586,0.017709441483020782,-0.014788602478802204,-0.014412369579076767,-0.1061941459774971,0.033674802631139755,0.04175718128681183,-0.10735522955656052,0.041073936969041824,-0.04890783876180649,-0.07371965050697327,-0.015898650512099266,-0.05471886321902275,0.03274225816130638,-0.034662071615457535,-0.13220781087875366,-0.06126313656568527,0.004688755609095097,-0.056225601583719254,0.08519285172224045,-0.0473211295902729,0.019160013645887375,-0.11478506773710251,-0.00810836348682642,0.004592264536768198,0.0035857982002198696,-0.04004191234707832,-0.0705125629901886,0.1025950014591217,0.012008007615804672,-0.02676188200712204,-0.016530010849237442,-0.021471261978149414,-0.0325402095913887,0.08210866153240204,-0.04627833887934685,0.08697889000177383,-0.07817109674215317,0.036639124155044556,-0.06527293473482132,-4.673533382515416e-08,0.06485040485858917,-0.013253690674901009,0.022041654214262962,-0.04255542531609535,0.020491577684879303,-0.07587025314569473,0.04809626191854477,-0.043528567999601364,0.03808548301458359,-0.007756476756185293,0.016083503141999245,0.08668433129787445,0.010616111569106579,-0.07425322383642197,0.013624933548271656,0.030682697892189026,-0.04128675535321236,0.010596844367682934,-0.010113568976521492,0.03910376504063606,-0.051926884800195694,-0.06912250071763992,-0.032304149121046066,-0.031861819326877594,-0.022075287997722626,0.07057598978281021,0.027475325390696526,-0.011575852520763874,0.019691962748765945,0.008604910224676132,0.024718888103961945,0.06423068791627884,0.012621788308024406,-0.037601761519908905,0.009471659548580647,-0.001222861697897315,0.08414602279663086,0.015052572824060917,0.09279105812311172,0.04095183312892914,-0.021765273064374924,0.036502525210380554,0.029284995049238205,0.05991245061159134,0.028130892664194107,-0.061206918209791183,-0.027742469683289528,-0.0709386020898819,-0.003994028549641371,-0.065163254737854,-0.02573218382894993,-0.043967604637145996,0.14097872376441956,0.02789788506925106,-0.06055331602692604,0.04281127452850342,0.07990722358226776,-0.018521912395954132,0.0039015463553369045,0.01218245830386877,-0.03385179489850998,-0.002914431970566511,0.06551635265350342,0.04666556417942047"
"behalf and on behalf of all persons to be insured. Please inform Us immediately of any change in the address, nature of job, state of health, or of any other changes affecting You or any Insured Person.  
2. Benefits  
The Policy covers reasonable expenses incurred towards medical treatment taken during the Policy 
Period for an Illness, Accident or condition described below if this is contracted or sustained by an","-0.058645159006118774,0.13788937032222748,0.05966270714998245,-0.05661087483167648,0.07118484377861023,0.08063357323408127,0.11112011224031448,0.05073752999305725,-0.03784897178411484,0.04020882397890091,-0.023961378261446953,-0.007692106068134308,0.013753550127148628,-0.028738992288708687,-0.014907808974385262,-0.059767648577690125,0.043068788945674896,0.033804044127464294,-0.08242381364107132,0.05318760126829147,-0.024605022743344307,0.063085176050663,-0.00020253862021490932,0.022039048373699188,-0.07138670980930328,-0.005427853669971228,0.042853809893131256,0.01825874298810959,0.01943991146981716,-0.004514255095273256,0.03553234040737152,-0.08774367719888687,-0.003912355750799179,-0.006697387434542179,-0.03346296027302742,0.02966521494090557,-0.09499823302030563,-0.05382112041115761,-0.09113708883523941,0.005003637634217739,-0.013630548492074013,-0.0022998361382633448,-0.01564727909862995,0.03601306304335594,0.005350495222955942,0.016572412103414536,0.06952263414859772,0.02034056931734085,-0.04099451005458832,0.034276094287633896,0.004412918351590633,-0.00646214047446847,0.05651671439409256,0.04023765027523041,-0.010080055333673954,-0.01615077257156372,-0.024769632145762444,-0.04840575158596039,-0.0786789059638977,0.06304306536912918,-0.0758940577507019,-0.0005342467920854688,0.01306692324578762,0.03871668502688408,-0.06572030484676361,-0.049973856657743454,0.024993542581796646,0.03156067803502083,-0.043391384184360504,-0.0634014829993248,0.0024763336405158043,-0.00748420599848032,0.0016349153593182564,-0.026716377586126328,-0.011868086643517017,-0.03718985617160797,0.029676290228962898,0.021458525210618973,0.049145493656396866,-0.041040606796741486,0.011311406269669533,0.015971219167113304,0.04979541152715683,0.010782784782350063,-0.010473730973899364,-0.02275478094816208,-0.0869213417172432,-0.06380660086870193,-0.024665217846632004,-0.012317967601120472,0.035667963325977325,-0.022770501673221588,0.11076907068490982,-0.05070745572447777,0.023691346868872643,0.024200694635510445,-0.0122412433847785,-0.00148492818698287,-0.05541181564331055,0.010688500478863716,0.0245222020894289,-0.056326668709516525,-0.024472245946526527,0.11508753150701523,0.00555791798979044,-0.021548036485910416,-0.00837815459817648,-0.05549478903412819,0.04788343235850334,0.015029089525341988,0.013371729291975498,0.01351796556264162,-0.014896723441779613,-0.0016794988187029958,-0.016593962907791138,-0.0052466499619185925,-0.1270378679037094,0.003118210704997182,0.056356512010097504,-0.10460411757230759,-0.01660768873989582,-0.045446861535310745,0.009306468069553375,-0.04756717011332512,0.007324066013097763,-0.015553776174783707,0.028459103778004646,-4.460956980332425e-34,-0.02623743936419487,0.09687452763319016,0.03997145965695381,0.026148920878767967,0.039494872093200684,0.0022464741487056017,-0.014411610551178455,-0.030465543270111084,0.017809690907597542,-0.008732129819691181,0.021366989240050316,0.09120353311300278,0.06998921185731888,0.027427732944488525,-0.08120708167552948,0.01834670454263687,-0.03393391892313957,0.151899054646492,-0.029214998707175255,0.12745355069637299,0.004519789945334196,0.04286540299654007,0.02852829173207283,0.033641330897808075,-0.004599841311573982,-0.01670052669942379,-0.031705938279628754,-0.01045642327517271,0.014759601093828678,0.03470970317721367,0.04283856227993965,-0.012502123601734638,-0.02960847318172455,-0.08533230423927307,0.010480592958629131,0.01577814668416977,-0.09319537878036499,0.0011273104464635253,-0.0922900140285492,-0.07661072909832001,-0.010072309523820877,-0.05726778134703636,0.08181677013635635,0.018895406275987625,-0.028811989352107048,-0.03046267293393612,0.016970915719866753,0.008628029376268387,0.04856700450181961,0.00404800521209836,-0.0842614695429802,-0.04257772117853165,-0.020243309438228607,0.011149495840072632,0.04875028878450394,-0.05725615844130516,-0.0199934933334589,0.049218591302633286,-0.04389406740665436,-0.0806499719619751,0.0030960943549871445,-0.0677616149187088,0.004447020590305328,-0.004664646461606026,-0.02833792380988598,-0.020038651302456856,0.021338149905204773,-0.10647695511579514,0.044202182441949844,-0.013568486087024212,-0.10142331570386887,0.07291200757026672,0.03199475258588791,0.049732912331819534,-0.07536069303750992,0.03986421599984169,-0.0631641298532486,-0.0011293470161035657,0.03865129128098488,0.06163811683654785,-0.05072914436459541,-0.002067717956379056,0.0937809869647026,0.01653832197189331,0.09346427023410797,-0.0016912685241550207,-0.0444212444126606,0.01904064603149891,-0.014241769909858704,-0.02961753122508526,0.015914104878902435,0.030359307304024696,0.024570874869823456,0.12243432551622391,0.022516541182994843,-4.843392679770933e-33,-0.008323169313371181,0.00011161169095430523,0.03758484497666359,-0.051616281270980835,-0.0032927338033914566,-0.03542467951774597,0.024670392274856567,-0.10094579309225082,0.044330500066280365,-0.0255430880934,-0.08895817399024963,-0.014340351335704327,-0.09724479913711548,-0.010942121967673302,-0.0682014673948288,-0.007402817718684673,-0.08225411176681519,-0.11835801601409912,-0.004699204117059708,0.01206338219344616,-0.06713289767503738,0.008540824055671692,0.029340894892811775,0.08105023205280304,0.0404319129884243,0.046026576310396194,0.044902339577674866,0.04694917052984238,0.06489069759845734,-0.052567172795534134,-0.02057572640478611,-0.056082017719745636,-0.12856388092041016,-0.005562204401940107,-0.07791905105113983,-0.02536488138139248,0.048501454293727875,-0.002197937574237585,-0.019916828721761703,0.10167738795280457,0.11471337080001831,-0.01131585706025362,0.12971849739551544,0.06618646532297134,0.015646016225218773,-0.021147847175598145,-0.038840748369693756,-0.10691910982131958,-0.008172933012247086,0.01637515425682068,0.03701544925570488,-0.02898002415895462,0.043240949511528015,0.07477403432130814,0.0204385407269001,-0.07896827906370163,0.016780009493231773,-0.038642097264528275,0.014587976038455963,-0.0685720294713974,0.01960930787026882,0.046747636049985886,-0.006304675713181496,0.08841890841722488,-0.09030063450336456,-0.02271842211484909,-0.003449629759415984,-0.06990230083465576,0.05954153835773468,-0.0794660821557045,-0.0546984039247036,-0.1705271303653717,-0.12759006023406982,-0.03618289902806282,0.053594984114170074,0.02576320804655552,-0.000898974307347089,-0.11102614551782608,-0.09681987017393112,0.004725227132439613,0.004270642530173063,-0.07735248655080795,-0.03214753791689873,0.005568142049014568,-0.027686933055520058,-0.02889983542263508,0.06544201821088791,-0.02240811288356781,0.034564025700092316,0.058300215750932693,-0.06006110832095146,0.05266903340816498,-0.03251519054174423,-0.02280537411570549,-0.05654429644346237,-4.748044091229531e-08,0.013112109154462814,-0.027165612205863,0.08141713589429855,-0.03023417294025421,-0.07014518976211548,-0.13140131533145905,-0.019977103918790817,0.021648291498422623,-0.009463644586503506,0.052518654614686966,-0.016931777819991112,0.10416320711374283,0.04650981351733208,-0.06688741594552994,0.07448793202638626,-0.00844544917345047,-0.036477431654930115,0.04304034262895584,-0.03833649680018425,-0.011765814386308193,-0.04234231263399124,0.00884748063981533,-0.042193252593278885,-0.04030062258243561,-0.02151631936430931,0.009725747630000114,-0.023123016580939293,-0.014314592815935612,0.0193912573158741,0.0032060369849205017,-0.06012542173266411,0.03661538287997246,0.050425805151462555,0.016731122508645058,-0.001300954376347363,-0.011648326180875301,0.06927227228879929,-0.07904275506734848,0.06429272890090942,-0.00819198228418827,0.025118418037891388,0.11019578576087952,0.03228256106376648,0.09930922836065292,-0.00068691186606884,-0.03300485387444496,-0.010497529059648514,-0.019814908504486084,0.010579870082437992,-0.0403953492641449,-0.007428263314068317,-0.015890931710600853,0.056841474026441574,0.014353174716234207,-0.03949308395385742,0.02880788780748844,0.0022011573892086744,-0.00892091728746891,0.017351703718304634,0.02966843731701374,-0.01194343063980341,-0.025586290284991264,-0.022312480956315994,-0.0160719882696867"
"Insured Person during the Policy Period and subj ect always to the Sum Insured, any subsidiary limit 
specified in the Product Benefits Table, the terms, conditions, limitations and exclusions mentioned in the Policy and eligibility as per the insurance plan opted for in the Product Benefits Table and as shown in the Schedule of Insurance Certificate :  
 2.1. In-patient Treatment 
We will cover Medical Expenses for:  
(a) Doctors’ fees  
(b) Diagnostics Tests","-0.03710736706852913,0.06442731618881226,0.04598598927259445,-0.03755199536681175,0.097388856112957,0.06459550559520721,0.14717745780944824,0.09941135346889496,-0.0289923045784235,-0.0037993062287569046,0.030414408072829247,-0.03120145946741104,0.05902958661317825,-0.0302837286144495,-0.04871751368045807,-0.0707780122756958,-0.016574488952755928,-0.011224993504583836,-0.012285914272069931,-0.00209317309781909,0.0025998728815466166,0.024904511868953705,-0.013811511918902397,0.029270397499203682,-0.047590017318725586,-0.011453806422650814,0.10856486856937408,0.004719266667962074,0.003195369616150856,0.009841343387961388,-0.008815400302410126,-0.06369604915380478,-0.042118366807699203,0.007982331328094006,0.002965648891404271,-0.04642527922987938,-0.07221751660108566,-0.10658347606658936,-0.0763138011097908,0.05548621714115143,0.015169727616012096,-0.0036550150252878666,-0.023102980107069016,0.05320481210947037,0.015206056647002697,-0.028417404741048813,-0.02298409305512905,0.005769437178969383,-0.05058755353093147,0.11465990543365479,0.004531559068709612,0.04337049648165703,0.0064784749411046505,0.04907987639307976,0.024347249418497086,-0.07631466537714005,-0.06215173378586769,-0.026342878118157387,-0.0666949599981308,0.07088083773851395,-0.04188310354948044,0.03067023865878582,-0.01761862449347973,0.03253938630223274,-0.029852353036403656,-0.01244334690272808,-0.012019888497889042,0.049563806504011154,-0.05137823522090912,0.04354485496878624,-0.032188110053539276,-0.04263071343302727,-0.05074944719672203,0.015396189875900745,-0.0011644227197393775,0.0608077272772789,0.01171250082552433,-0.0038693915121257305,-0.022923002019524574,-0.08008965104818344,-0.028089145198464394,-0.01587557978928089,0.05600202828645706,-0.07156242430210114,0.002605617744848132,-0.003128619398921728,-0.04604503512382507,-0.03366127982735634,-0.02198597975075245,-0.007637588307261467,0.07240281254053116,-0.0721968337893486,0.06496045738458633,-0.030550826340913773,0.007690618745982647,-0.06144993379712105,-0.006971392314881086,0.00763224670663476,0.005731489975005388,-0.008996018208563328,0.010320505127310753,-0.04252578690648079,0.03348004072904587,0.11774202436208725,-0.06238070875406265,-0.08478313684463501,0.06232774257659912,-0.03510191664099693,0.06163778901100159,0.012118116021156311,0.0256925281137228,-0.025211121886968613,0.08454205840826035,-0.059842899441719055,-0.0542447492480278,-0.0006972503615543246,-0.050906479358673096,0.020962810143828392,0.0921819657087326,-0.018107235431671143,0.016334572806954384,0.06212187558412552,0.008496496826410294,-0.0352371521294117,-0.0742947980761528,0.03184408321976662,-0.029368950054049492,1.1205098678786057e-33,0.00702825328335166,-0.07384448498487473,0.004836355336010456,-0.04945668578147888,-0.03475067764520645,0.07296489179134369,-0.010396077297627926,0.05316983908414841,0.015140063129365444,-0.03285352140665054,-0.02383940853178501,-0.005298888776451349,0.00022402145259547979,-0.019155221059918404,-0.01696941629052162,0.07987664639949799,-0.01107417605817318,0.10354033857584,-0.03638570010662079,0.08748888969421387,-0.028242820873856544,-0.04618515819311142,0.026824723929166794,0.07502449303865433,-0.0031621332745999098,-0.024030089378356934,0.027046354487538338,-0.025338348001241684,0.018674829974770546,0.02784932777285576,-0.01869027502834797,0.07682637870311737,-0.03129256144165993,-0.029491335153579712,-0.018749134615063667,0.04988032579421997,-0.03146754205226898,0.004602155182510614,0.013768232427537441,-0.035812731832265854,-0.007492414675652981,-0.06479843705892563,0.09942382574081421,-0.01497718133032322,-0.01209204737097025,0.013660079799592495,-0.005265290383249521,0.01507487241178751,-0.01016593910753727,0.013469412922859192,-0.134047269821167,-0.002732418244704604,-0.0033256523311138153,-0.035003192722797394,0.0604676678776741,-0.015197403728961945,-0.041063401848077774,0.05918724834918976,0.02884458564221859,0.04189445823431015,-0.03104693628847599,-0.049240872263908386,0.025684822350740433,-0.031476616859436035,-0.07505106180906296,0.08548876643180847,-0.03290948271751404,-0.13195490837097168,0.03255360573530197,-0.007628580089658499,-0.0650363489985466,0.07564521580934525,0.06052881106734276,0.06395842134952545,-0.05311855301260948,0.018550828099250793,0.004177269991487265,0.028505980968475342,-0.02505524456501007,0.017264608293771744,-0.08296513557434082,-0.017918769270181656,0.09033232927322388,-0.01388496533036232,0.01590999960899353,-0.008417626842856407,-0.03118245117366314,0.07581403851509094,-0.05138189345598221,-0.046533625572919846,0.0394110381603241,-0.020031467080116272,-0.010823726654052734,0.10303279012441635,0.0506453700363636,-3.894954981043555e-33,-0.027049683034420013,0.05700987949967384,-0.019752182066440582,-0.10551076382398605,0.03948216885328293,-0.038294363766908646,0.019863348454236984,0.027259213849902153,0.01944267563521862,0.009335077367722988,-0.0052634067833423615,-0.03561611846089363,0.009959958493709564,-0.057483889162540436,-0.08747807145118713,-0.03573959320783615,-0.06619055569171906,-0.10309205949306488,0.05322007089853287,0.07478947192430496,-0.039127934724092484,-0.025900302454829216,0.03090047836303711,0.05810302868485451,-0.005830900277942419,0.06252555549144745,-0.01689736731350422,0.034825898706912994,-0.007704407442361116,-0.04839882254600525,-0.02136423997581005,-0.06136166676878929,-0.12939347326755524,-0.010377410799264908,-0.03238440677523613,-0.10150561481714249,0.04883188754320145,0.06482182443141937,-0.017364749684929848,0.05019658803939819,0.08915282785892487,-0.060408033430576324,0.06035613268613815,0.09317876398563385,0.07599721848964691,-0.049727536737918854,0.04569759964942932,-0.14456883072853088,0.038604095578193665,-0.015657175332307816,-0.03304241970181465,-0.04542809724807739,0.0760645642876625,0.06447415053844452,-0.04751640930771828,-0.07089172303676605,0.010471085086464882,-0.012382982298731804,-0.06559305638074875,-0.06606677919626236,0.006667037960141897,0.04339103400707245,0.04089699313044548,0.039304766803979874,-0.07804308086633682,-0.03968936577439308,-0.003796400036662817,-0.02610786072909832,0.11964868754148483,-0.02636644057929516,-0.1133917048573494,-0.05628005042672157,-0.020187310874462128,-0.05142425000667572,0.03965876251459122,0.0015272388700395823,-0.0022708121687173843,-0.10741494596004486,-0.031188320368528366,-0.009787657298147678,-0.054753378033638,-0.06731528788805008,-0.05509652942419052,0.07800088822841644,-0.020149193704128265,-0.02412335015833378,0.012478003278374672,-0.03665540739893913,-0.02989022806286812,0.1201152428984642,-0.05699979513883591,0.04142071306705475,-0.053262703120708466,0.01455869060009718,-0.06486701965332031,-4.821096410978498e-08,0.018780799582600594,0.006669493857771158,0.052180368453264236,-0.008397177793085575,0.03287836164236069,-0.14432542026042938,-0.027144230902194977,0.027386335656046867,0.008179530501365662,0.11594341695308685,-0.016015123575925827,0.11725061386823654,0.0675935223698616,-0.0538567453622818,0.011033372022211552,0.00748230516910553,-0.025301901623606682,0.0723952203989029,-0.0247141495347023,0.028467701748013496,-0.04554332420229912,-0.020924482494592667,-0.01950589194893837,0.048828817903995514,-0.04944870248436928,0.044637393206357956,-0.00339475367218256,0.02493305876851082,0.09535825997591019,0.02536018379032612,-0.05118498578667641,0.0116039477288723,0.022340230643749237,-0.01242456492036581,-0.0013945669634267688,-0.09908594191074371,0.060542576014995575,0.011952740140259266,0.014345109462738037,0.042224086821079254,0.034895528107881546,-0.037379804998636246,0.07444827258586884,0.08266447484493256,0.05054864659905434,-0.040820397436618805,-0.11866588145494461,-0.03424294665455818,0.014483984559774399,-0.04591001942753792,0.012490831315517426,-0.03165742754936218,0.081586092710495,0.004169892519712448,-0.013729664497077465,0.025908226147294044,0.05739726126194,0.0038535180501639843,-0.03518485277891159,0.06574919074773788,-0.04076379910111427,-0.02527165412902832,0.04805900529026985,0.0314725786447525"
